"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2017",50699.175108,
"AUS","GDP","TOT","USD_CAP","A","2018",52980.734327,
"AUS","GDP","TOT","USD_CAP","A","2019",52669.473903,
"AUS","GDP","TOT","USD_CAP","A","2020",55635.462558,
"AUS","GDP","TOT","USD_CAP","A","2021",61631.9388,"E"
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56978.264771,
"AUT","GDP","TOT","USD_CAP","A","2019",58091.272285,
"AUT","GDP","TOT","USD_CAP","A","2020",55686.067736,
"AUT","GDP","TOT","USD_CAP","A","2021",58395.772207,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52535.511671,
"BEL","GDP","TOT","USD_CAP","A","2019",54278.264883,
"BEL","GDP","TOT","USD_CAP","A","2020",53071.34083,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58925.223286,"P"
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49892.028612,
"CAN","GDP","TOT","USD_CAP","A","2019",49286.811601,
"CAN","GDP","TOT","USD_CAP","A","2020",46572.141022,
"CAN","GDP","TOT","USD_CAP","A","2021",52021.596768,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",42865.741123,
"CZE","GDP","TOT","USD_CAP","A","2020",41706.802061,
"CZE","GDP","TOT","USD_CAP","A","2021",44197.925718,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",58495.572023,
"DNK","GDP","TOT","USD_CAP","A","2020",60098.509912,
"DNK","GDP","TOT","USD_CAP","A","2021",64876.683301,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",50322.84765,
"FIN","GDP","TOT","USD_CAP","A","2020",50936.750455,
"FIN","GDP","TOT","USD_CAP","A","2021",54667.795656,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",48700.802342,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46713.800171,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",50543.711372,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",55651.435768,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",55461.202156,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58385.796698,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",28604.794575,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.499309,
"GRC","GDP","TOT","USD_CAP","A","2019",30356.302549,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",27923.999993,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31281.571731,"P"
"HUN","GDP","TOT","USD_CAP","A","2017",29501.120486,
"HUN","GDP","TOT","USD_CAP","A","2018",31913.074632,
"HUN","GDP","TOT","USD_CAP","A","2019",33514.94177,
"HUN","GDP","TOT","USD_CAP","A","2020",33274.347589,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",36752.496598,"P"
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",57208.31151,
"ISL","GDP","TOT","USD_CAP","A","2019",58209.933438,
"ISL","GDP","TOT","USD_CAP","A","2020",53553.506349,
"ISL","GDP","TOT","USD_CAP","A","2021",57939.398653,
"IRL","GDP","TOT","USD_CAP","A","2017",78051.654251,
"IRL","GDP","TOT","USD_CAP","A","2018",84824.352993,
"IRL","GDP","TOT","USD_CAP","A","2019",87550.548894,
"IRL","GDP","TOT","USD_CAP","A","2020",93442.328189,
